1.2,0.91,-0.1,21.7
1,0.91,-0.3,21.6
0.8,0.92,-0.3,21.7
0.3,0.93,-0.7,21.3
-0.1,0.95,-0.8,20.9
-0.7,0.96,-1.2,20.9
-1,0.96,-1.5,21.5
-1.3,0.96,-1.8,22.2
-0.9,0.96,-1.4,22.8
0.7,0.94,-0.1,22.9
3.6,0.85,1.3,22.6
6.7,0.71,1.8,21.7
9,0.62,2,20.5
9.7,0.57,1.5,19.6
10.3,0.55,1.6,19.2
9.2,0.59,1.5,19.1
8.3,0.63,1.6,18.7
6.9,0.68,1.3,18.5
5.7,0.73,1.2,17.7
4.2,0.79,0.8,17.9
3.4,0.83,0.7,17.6
2.4,0.86,0.2,16.8
1.8,0.88,0,17.1
1.4,0.91,0,17.2
0.8,0.92,-0.3,16.2
0.3,0.93,-0.7,16.6
0.2,0.93,-0.8,16.5
-0.1,0.94,-0.9,15.9
-0.2,0.95,-0.9,15.8
0.2,0.94,-0.6,15.4
0.4,0.94,-0.4,15.3
0.6,0.93,-0.4,15.1
1.2,0.92,0,15.2
2.5,0.89,0.8,15.3
4.5,0.84,2,15.3
8.5,0.68,2.9,14.6
8.9,0.68,3.3,14
10.3,0.64,3.7,13.3
10,0.67,4.1,13
10,0.68,4.3,13.5
8.7,0.74,4.3,13.9
7.8,0.81,4.7,13.8
7.1,0.85,4.7,14.3
6.5,0.87,4.4,14.7
5.8,0.84,3.2,15
5.6,0.79,2.2,14.8
5.2,0.78,1.6,15.1
3.8,0.85,1.5,15.3
2.7,0.88,0.9,15.6
2.4,0.86,0.2,15.9
1.5,0.89,-0.1,16.4
1.3,0.89,-0.3,16.6
0.1,0.91,-1.1,16.9
-0.2,0.93,-1.2,17
-0.8,0.94,-1.6,17.2
-1.5,0.93,-2.4,17.5
-0.6,0.95,-1.3,17.7
2.2,0.87,0.2,17.7
4.9,0.72,0.2,17.7
6.6,0.6,-0.6,17
7.5,0.54,-1.2,16.1
8.5,0.51,-1,15.5
9,0.46,-2,15.1
8.1,0.54,-0.6,15
7,0.61,0,14.9
5.7,0.68,0.2,15.1
4.7,0.73,0.2,15.1
4.3,0.75,0.2,15.6
3.7,0.77,0,15.8
2.7,0.82,0,15.6
1.4,0.86,-0.6,15.9
1,0.89,-0.6,16
0.2,0.91,-1.1,15.7
0.2,0.92,-0.9,15.8
0,0.92,-1.1,16.2
0.4,0.92,-0.7,15.9
0.9,0.91,-0.4,15.4
1.4,0.89,-0.2,15.3
1.7,0.89,0,15.4
2.1,0.88,0.3,15.7
2.4,0.89,0.7,16.2
3.7,0.86,1.5,16.9
5.7,0.79,2.3,17.1
6.9,0.75,2.7,16.2
9.1,0.65,2.8,15.5
9.8,0.59,2.1,14.9
10.2,0.38,-3.5,14.4
10.1,0.43,-1.9,14.4
8.9,0.5,-0.9,14.6
7.8,0.6,0.5,15
5.9,0.64,-0.4,15.5
4.3,0.66,-1.5,16
3.8,0.51,-5.4,16.5
2.4,0.58,-5,16.4
1.7,0.63,-4.6,16.8
1.2,0.7,-3.6,17.2
0.8,0.72,-3.6,17.2
0.2,0.72,-4.2,17.3
-0.2,0.76,-3.9,17.3
-0.4,0.77,-3.9,17.4
-0.6,0.79,-3.7,17.1
-0.6,0.83,-3.1,17.1
-0.4,0.83,-2.9,17.6
-0.1,0.84,-2.4,17.6
0.4,0.83,-2.1,18.1
1.7,0.8,-1.3,18.6
3.9,0.7,-1,18.7
5.5,0.62,-1.2,18.2
7.2,0.6,0,17.7
9.1,0.59,1.4,17.3
9,0.61,1.8,17.5
8.6,0.63,1.9,18.2
8.1,0.66,2.1,18.6
7.5,0.67,1.7,18.9
7.3,0.69,1.9,19.3
7.1,0.69,1.7,19.5
6.9,0.69,1.5,19.7
6.6,0.7,1.5,20
6.4,0.69,1.1,20.2
6.1,0.69,0.8,19.8
5.7,0.71,0.8,19.6
5.4,0.71,0.5,19.7
5.3,0.71,0.4,19.9
5.1,0.72,0.4,19.9
4.8,0.73,0.3,19.5
4.7,0.74,0.4,19.5
4.7,0.74,0.4,19.8
4.4,0.75,0.3,19.9
5.4,0.71,0.5,20.2
7.5,0.64,1.1,20.5
8.8,0.6,1.4,19.9
9.9,0.55,1.2,18.9
11.3,0.49,0.9,18
11.3,0.49,0.9,17.2
12,0.48,1.3,16.7
